"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022年10月14日","3.90","3.85","3.92","3.84","749.63M","2.31%"
"2022年10月13日","3.82","3.82","3.85","3.81","345.14M","-0.86%"
"2022年10月12日","3.85","3.79","3.85","3.72","731.51M","1.64%"
"2022年10月11日","3.79","3.79","3.80","3.77","491.38M","0.00%"
"2022年10月10日","3.79","3.87","3.87","3.78","684.11M","-2.04%"
"2022年9月30日","3.87","3.89","3.91","3.87","638.38M","-0.67%"
"2022年9月29日","3.89","3.92","3.94","3.87","506.08M","0.00%"
"2022年9月28日","3.89","3.93","3.94","3.89","530.08M","-1.42%"
"2022年9月27日","3.95","3.91","3.96","3.89","519.16M","1.28%"
"2022年9月26日","3.90","3.90","3.96","3.89","756.03M","-0.64%"
"2022年9月23日","3.92","3.93","3.95","3.89","520.25M","-0.20%"
"2022年9月22日","3.93","3.94","3.96","3.92","279.85M","-0.73%"
"2022年9月21日","3.96","3.98","3.99","3.94","363.49M","-0.75%"
"2022年9月20日","3.99","4.01","4.02","3.98","301.52M","0.00%"
"2022年9月19日","3.99","3.99","4.01","3.97","397.79M","-0.27%"
"2022年9月16日","4.00","4.08","4.09","4.00","725.78M","-2.20%"
"2022年9月15日","4.09","4.13","4.15","4.07","588.84M","-0.90%"
"2022年9月14日","4.13","4.13","4.16","4.11","429.91M","-1.10%"
"2022年9月13日","4.17","4.17","4.20","4.16","327.43M","0.34%"
"2022年9月9日","4.16","4.11","4.17","4.11","392.98M","1.41%"
"2022年9月8日","4.10","4.12","4.13","4.10","171.63M","-0.44%"
"2022年9月7日","4.12","4.10","4.13","4.09","183.57M","0.19%"
"2022年9月6日","4.11","4.09","4.12","4.07","264.10M","0.71%"
"2022年9月5日","4.08","4.07","4.08","4.04","215.86M","0.00%"
"2022年9月2日","4.08","4.11","4.12","4.06","263.74M","-0.56%"
"2022年9月1日","4.11","4.13","4.15","4.10","320.25M","-0.82%"
"2022年8月31日","4.14","4.12","4.18","4.11","555.28M","0.00%"
"2022年8月30日","4.14","4.15","4.16","4.11","232.10M","-0.22%"
"2022年8月29日","4.15","4.14","4.16","4.13","234.60M","-0.60%"
"2022年8月26日","4.18","4.18","4.20","4.17","226.86M","-0.14%"
"2022年8月25日","4.18","4.15","4.19","4.12","332.51M","0.87%"
"2022年8月24日","4.14","4.23","4.24","4.14","403.16M","-1.82%"
"2022年8月23日","4.22","4.23","4.25","4.20","275.88M","-0.33%"
"2022年8月22日","4.24","4.20","4.25","4.20","310.93M","0.64%"
"2022年8月19日","4.21","4.24","4.25","4.21","289.44M","-0.71%"
"2022年8月18日","4.24","4.27","4.27","4.23","199.97M","-0.87%"
"2022年8月17日","4.28","4.24","4.29","4.21","281.02M","0.97%"
"2022年8月16日","4.24","4.25","4.27","4.23","168.48M","-0.24%"
"2022年8月15日","4.24","4.24","4.29","4.24","232.82M","-0.24%"
"2022年8月12日","4.26","4.25","4.27","4.24","205.59M","0.00%"
"2022年8月11日","4.25","4.18","4.26","4.18","348.05M","2.11%"
"2022年8月10日","4.17","4.20","4.22","4.15","203.76M","-1.07%"
"2022年8月9日","4.21","4.20","4.22","4.19","241.82M","0.17%"
"2022年8月8日","4.20","4.20","4.22","4.19","157.28M","-0.33%"
"2022年8月5日","4.22","4.16","4.22","4.15","393.39M","1.57%"
"2022年8月4日","4.15","4.14","4.16","4.12","261.75M","0.75%"
"2022年8月3日","4.12","4.18","4.21","4.11","376.66M","-1.08%"
"2022年8月2日","4.17","4.21","4.21","4.13","543.97M","-1.68%"
"2022年8月1日","4.24","4.21","4.25","4.18","298.39M","0.43%"
"2022年7月29日","4.22","4.28","4.30","4.21","471.27M","-1.38%"
"2022年7月28日","4.28","4.29","4.33","4.28","369.58M","0.00%"
"2022年7月27日","4.28","4.29","4.30","4.27","257.18M","-0.56%"
"2022年7月26日","4.30","4.28","4.32","4.27","376.25M","0.68%"
"2022年7月25日","4.27","4.28","4.29","4.25","251.68M","-0.42%"
"2022年7月22日","4.29","4.30","4.34","4.26","314.77M","0.00%"
"2022年7月21日","4.29","4.32","4.34","4.28","310.49M","-1.04%"
"2022年7月20日","4.33","4.34","4.36","4.32","299.84M","0.28%"
"2022年7月19日","4.32","4.34","4.34","4.28","353.53M","-0.51%"
"2022年7月18日","4.34","4.31","4.36","4.27","389.12M","1.07%"
"2022年7月15日","4.30","4.35","4.40","4.29","737.31M","-1.49%"
"2022年7月14日","4.36","4.36","4.39","4.34","326.41M","0.00%"
"2022年7月13日","4.36","4.36","4.38","4.33","295.60M","0.16%"
"2022年7月12日","4.35","4.38","4.41","4.34","343.54M","-0.82%"
"2022年7月11日","4.39","4.45","4.45","4.37","452.21M","-1.70%"
"2022年7月8日","4.46","4.49","4.51","4.46","208.25M","0.00%"
"2022年7月7日","4.47","4.45","4.49","4.42","403.05M","0.36%"
"2022年7月6日","4.45","4.50","4.51","4.42","318.96M","-1.31%"
"2022年7月5日","4.51","4.53","4.57","4.46","392.12M","-0.22%"
"2022年7月4日","4.52","4.48","4.52","4.45","387.42M","0.62%"
"2022年7月1日","4.49","4.52","4.53","4.47","445.57M","-0.33%"
"2022年6月30日","4.51","4.45","4.55","4.45","568.05M","1.12%"
"2022年6月29日","4.46","4.50","4.53","4.44","544.84M","-1.22%"
"2022年6月28日","4.51","4.46","4.53","4.43","374.88M","1.17%"
"2022年6月27日","4.46","4.43","4.50","4.43","455.98M","1.09%"
"2022年6月24日","4.41","4.38","4.43","4.36","414.83M","1.10%"
"2022年6月23日","4.36","4.29","4.37","4.28","405.69M","1.75%"
"2022年6月22日","4.29","4.34","4.35","4.28","361.96M","-1.15%"
"2022年6月21日","4.34","4.34","4.38","4.30","422.40M","0.00%"
"2022年6月20日","4.34","4.33","4.39","4.31","732.43M","0.49%"
"2022年6月17日","4.32","4.24","4.34","4.24","715.65M","1.48%"
"2022年6月16日","4.26","4.30","4.32","4.25","507.51M","-0.63%"
"2022年6月15日","4.28","4.23","4.36","4.23","1.12B","1.16%"
"2022年6月14日","4.24","4.16","4.24","4.11","624.90M","0.95%"
"2022年6月13日","4.20","4.21","4.22","4.17","579.90M","-1.22%"
"2022年6月10日","4.25","4.16","4.26","4.16","648.07M","1.38%"
"2022年6月9日","4.19","4.22","4.23","4.17","291.61M","-0.80%"
"2022年6月8日","4.22","4.18","4.23","4.16","427.29M","1.00%"
"2022年6月7日","4.18","4.16","4.20","4.16","380.86M","0.14%"
