日期,收盘,开盘,高,低,交易量,涨跌幅
2022/10/14,7.75,7.5,7.83,7.39,48.10M,4.87%
2022/10/13,7.39,7.36,7.51,7.26,32.13M,0.27%
2022/10/12,7.37,7.14,7.43,6.92,38.26M,3.22%
2022/10/11,7.14,7,7.2,6.99,27.06M,1.71%
2022/10/10,7.02,7.32,7.32,6.93,30.16M,-3.04%
2022/9/30,7.24,7.25,7.41,7.12,29.56M,-1.50%
2022/9/29,7.35,7.37,7.42,7.17,30.65M,0.96%
2022/9/28,7.28,7.54,7.68,7.25,33.34M,-3.58%
2022/9/27,7.55,7.53,7.65,7.39,27.49M,0.80%
2022/9/26,7.49,7.4,7.65,7.35,28.61M,0.00%
2022/9/23,7.49,7.65,7.82,7.4,30.48M,-2.22%
2022/9/22,7.66,7.53,7.75,7.5,26.95M,0.52%
2022/9/21,7.62,7.58,7.68,7.44,31.03M,0.00%
2022/9/20,7.62,7.42,7.77,7.4,42.22M,3.96%
2022/9/19,7.33,7.47,7.6,7.26,37.65M,-1.87%
2022/9/16,7.47,7.71,7.78,7.47,39.93M,-3.36%
2022/9/15,7.73,8.33,8.38,7.57,80.40M,-6.53%
2022/9/14,8.27,8.29,8.52,8.21,37.28M,-2.71%
2022/9/13,8.5,8.71,8.78,8.45,34.41M,-2.19%
2022/9/9,8.69,8.82,8.88,8.47,45.20M,-1.36%
2022/9/8,8.81,8.96,9.2,8.78,59.27M,-1.78%
2022/9/7,8.97,8.47,9.07,8.43,81.61M,4.18%
2022/9/6,8.61,8.12,8.65,7.96,72.61M,6.82%
2022/9/5,8.06,8.03,8.23,7.99,44.67M,-0.12%
2022/9/2,8.07,8.16,8.34,8.01,56.98M,-1.82%
2022/9/1,8.22,8.49,8.56,8.13,73.47M,-3.18%
2022/8/31,8.49,9.43,9.53,8.49,146.38M,-9.97%
2022/8/30,9.43,9.83,9.94,9.4,88.94M,-4.94%
2022/8/29,9.92,9.58,10.1,9.52,182.75M,2.80%
2022/8/26,9.65,9.3,9.65,9.28,183.50M,10.03%
2022/8/25,8.77,9.07,9.18,8.58,65.67M,-3.31%
2022/8/24,9.07,9.54,9.59,9.01,69.76M,-4.63%
2022/8/23,9.51,9.72,9.83,9.45,69.14M,-3.06%
2022/8/22,9.81,9.6,9.92,9.35,124.75M,2.29%
2022/8/19,9.59,9.47,9.86,9.19,126.14M,1.27%
2022/8/18,9.47,9.4,9.71,9.4,61.67M,-0.21%
2022/8/17,9.49,9.64,9.74,9.44,81.24M,-1.45%
2022/8/16,9.63,9.6,9.79,9.45,105.08M,1.37%
2022/8/15,9.5,9.3,9.63,9.24,107.52M,0.53%
2022/8/12,9.45,8.88,9.8,8.88,155.02M,6.06%
2022/8/11,8.91,9.29,9.35,8.81,89.50M,0.11%
2022/8/10,8.9,8.76,9.12,8.57,59.29M,0.68%
2022/8/9,8.84,8.78,9.13,8.7,65.18M,0.80%
2022/8/8,8.77,8.57,8.86,8.41,41.14M,2.45%
2022/8/5,8.56,8.55,8.63,8.35,40.70M,0.47%
2022/8/4,8.52,8.41,8.67,8.37,45.75M,1.91%
2022/8/3,8.36,8.73,8.97,8.26,81.62M,-3.91%
2022/8/2,8.7,9.01,9.1,8.66,77.32M,-5.23%
2022/8/1,9.18,9.09,9.25,8.86,49.48M,1.10%
2022/7/29,9.08,9.15,9.35,9.05,55.30M,-1.30%
2022/7/28,9.2,9.25,9.53,9.12,78.61M,-1.18%
2022/7/27,9.31,8.99,9.4,8.88,92.16M,4.14%
2022/7/26,8.94,8.75,9.12,8.57,90.89M,-0.11%
2022/7/25,8.95,9.87,9.96,8.95,147.79M,-9.96%
2022/7/22,9.94,10.55,10.55,9.89,143.96M,-5.33%
2022/7/21,10.5,9.89,10.61,9.47,234.52M,4.06%
2022/7/20,10.09,9.64,10.29,9.38,185.94M,5.21%
2022/7/19,9.59,9.53,10.03,9.24,151.97M,1.16%
2022/7/18,9.48,10.23,10.5,9.41,183.16M,-3.56%
2022/7/15,9.83,9.31,10.19,9.18,190.97M,5.81%
2022/7/14,9.29,9.01,9.53,8.8,156.83M,0.98%
2022/7/13,9.2,9.89,10.32,9.07,252.14M,-4.66%
2022/7/12,9.65,9.03,9.65,9.03,65.68M,10.03%
