"Date","Price","Open","High","Low","Vol.","Change %"
"04/18/2024","0.670","0.667","0.678","0.661","414.14M","0.15%"
"04/17/2024","0.669","0.666","0.670","0.663","353.97M","0.45%"
"04/16/2024","0.666","0.675","0.677","0.664","374.09M","-1.77%"
"04/15/2024","0.678","0.656","0.681","0.655","565.52M","3.04%"
"04/12/2024","0.658","0.668","0.673","0.656","391.72M","-1.64%"
"04/11/2024","0.669","0.664","0.669","0.662","371.36M","0.15%"
"04/10/2024","0.668","0.678","0.679","0.664","542.45M","-1.62%"
"04/09/2024","0.679","0.675","0.683","0.673","334.12M","0.15%"
"04/08/2024","0.678","0.701","0.701","0.677","615.02M","-3.97%"
"04/03/2024","0.706","0.709","0.714","0.701","394.43M","0.00%"
"04/02/2024","0.706","0.709","0.711","0.703","442.88M","-0.56%"
"04/01/2024","0.710","0.695","0.717","0.694","696.74M","2.75%"
"03/29/2024","0.691","0.690","0.695","0.686","339.13M","-0.14%"
"03/28/2024","0.692","0.688","0.700","0.686","388.38M","0.14%"
"03/27/2024","0.691","0.699","0.702","0.689","399.62M","-1.29%"
"03/26/2024","0.700","0.690","0.702","0.688","542.20M","1.60%"
"03/25/2024","0.689","0.692","0.695","0.684","374.66M","-1.01%"
"03/22/2024","0.696","0.711","0.711","0.691","514.19M","-2.25%"
"03/21/2024","0.712","0.710","0.719","0.707","401.38M","0.42%"
"03/20/2024","0.709","0.708","0.712","0.705","341.97M","-0.42%"
"03/19/2024","0.712","0.702","0.718","0.698","699.29M","1.14%"
"03/18/2024","0.704","0.701","0.704","0.694","451.84M","0.00%"
"03/15/2024","0.704","0.696","0.710","0.695","446.23M","0.72%"
"03/14/2024","0.699","0.697","0.710","0.693","551.29M","-0.29%"
"03/13/2024","0.701","0.700","0.706","0.694","588.82M","-0.43%"
"03/12/2024","0.704","0.672","0.706","0.672","1.31B","4.76%"
"03/11/2024","0.672","0.654","0.672","0.654","684.12M","2.60%"
"03/08/2024","0.655","0.658","0.662","0.649","544.78M","-0.61%"
"03/07/2024","0.659","0.662","0.667","0.658","448.70M","-0.60%"
