"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2024","1.113","1.074","1.118","1.074","25.60M","3.53%"
"04/18/2024","1.075","1.080","1.084","1.067","8.58M","-1.10%"
"04/17/2024","1.087","1.065","1.088","1.055","9.69M","1.21%"
"04/16/2024","1.074","1.088","1.093","1.070","9.87M","-1.38%"
"04/15/2024","1.089","1.085","1.095","1.057","12.13M","1.49%"
"04/12/2024","1.073","1.068","1.079","1.033","10.62M","0.37%"
"04/11/2024","1.069","1.062","1.075","1.055","11.85M","0.85%"
"04/10/2024","1.060","1.048","1.063","1.046","17.49M","0.09%"
"04/09/2024","1.059","1.075","1.075","1.050","14.65M","-1.49%"
"04/08/2024","1.075","1.073","1.091","1.064","14.11M","-0.74%"
"04/03/2024","1.083","1.078","1.085","1.070","15.30M","1.50%"
"04/02/2024","1.067","1.050","1.072","1.048","14.20M","1.72%"
"04/01/2024","1.049","1.048","1.050","1.032","11.91M","-0.10%"
"03/29/2024","1.050","1.010","1.050","1.010","12.41M","4.27%"
"03/28/2024","1.007","0.998","1.012","0.994","7.38M","0.90%"
"03/27/2024","0.998","1.002","1.010","0.998","6.63M","-1.38%"
"03/26/2024","1.012","1.017","1.017","1.001","7.30M","-0.78%"
"03/25/2024","1.020","1.007","1.027","1.005","7.84M","1.29%"
"03/22/2024","1.007","1.020","1.020","1.000","6.52M","-1.56%"
"03/21/2024","1.023","1.022","1.025","1.014","7.66M","-0.10%"
"03/20/2024","1.024","1.008","1.024","1.003","10.24M","1.49%"
"03/19/2024","1.009","1.017","1.022","1.007","7.07M","-0.39%"
"03/18/2024","1.013","1.009","1.013","1.000","10.57M","0.40%"
"03/15/2024","1.009","1.009","1.012","0.992","8.87M","0.10%"
"03/14/2024","1.008","0.999","1.012","0.998","14.61M","1.31%"
"03/13/2024","0.995","0.999","1.000","0.986","8.20M","-0.40%"
"03/12/2024","0.999","1.017","1.017","0.995","11.66M","-1.77%"
"03/11/2024","1.017","1.031","1.031","1.007","19.66M","-1.36%"
"03/08/2024","1.031","1.013","1.031","1.007","13.21M","1.58%"
"03/07/2024","1.015","1.005","1.026","1.005","9.66M","1.00%"
"03/06/2024","1.005","1.002","1.014","1.002","9.31M","0.30%"
"03/05/2024","1.002","1.007","1.008","0.994","6.86M","-0.40%"
"03/04/2024","1.006","0.985","1.006","0.984","10.53M","1.93%"
"03/01/2024","0.987","1.000","1.000","0.982","6.92M","-0.30%"
"02/29/2024","0.990","0.966","0.990","0.965","8.38M","2.17%"
"02/28/2024","0.969","0.992","0.997","0.968","8.14M","-1.72%"
"02/27/2024","0.986","0.980","0.988","0.974","8.20M","0.61%"
"02/26/2024","0.980","0.988","0.993","0.975","13.55M","-0.71%"
"02/23/2024","0.987","0.996","0.997","0.979","10.65M","-0.90%"
"02/22/2024","0.996","0.972","0.996","0.965","10.57M","2.89%"
"02/21/2024","0.968","0.958","0.983","0.955","12.37M","0.83%"
"02/20/2024","0.960","0.961","0.968","0.952","6.01M","-0.21%"
"02/19/2024","0.962","0.939","0.963","0.930","10.26M","2.45%"
"02/08/2024","0.939","0.914","0.939","0.914","13.38M","1.95%"
"02/07/2024","0.921","0.900","0.921","0.894","12.22M","1.99%"
"02/06/2024","0.903","0.888","0.911","0.875","7.31M","1.69%"
"02/05/2024","0.888","0.902","0.902","0.869","7.15M","-2.20%"
"02/02/2024","0.908","0.915","0.924","0.881","9.43M","0.00%"
"02/01/2024","0.908","0.934","0.934","0.908","8.07M","-2.99%"
"01/31/2024","0.936","0.946","0.953","0.933","8.68M","-1.37%"
"01/30/2024","0.949","0.950","0.967","0.946","6.86M","-1.25%"
"01/29/2024","0.961","0.967","0.982","0.960","15.77M","-1.03%"
"01/26/2024","0.971","0.946","0.973","0.946","14.11M","1.04%"
"01/25/2024","0.961","0.904","0.961","0.904","11.41M","6.31%"
"01/24/2024","0.904","0.889","0.905","0.883","7.00M","2.15%"
"01/23/2024","0.885","0.881","0.888","0.869","6.66M","0.23%"
"01/22/2024","0.883","0.912","0.912","0.875","6.81M","-3.07%"
"01/19/2024","0.911","0.910","0.917","0.906","7.49M","-0.98%"
"01/18/2024","0.920","0.925","0.925","0.890","8.55M","-0.54%"
"01/17/2024","0.925","0.938","0.940","0.924","2.18M","-1.60%"
"01/16/2024","0.940","0.936","0.942","0.929","7.10M","-0.32%"
"01/15/2024","0.943","0.936","0.944","0.930","5.78M","0.75%"
"01/12/2024","0.936","0.931","0.937","0.931","4.36M","0.75%"
"01/11/2024","0.929","0.935","0.935","0.927","7.30M","-0.75%"
"01/10/2024","0.936","0.944","0.947","0.936","5.20M","-0.74%"
"01/09/2024","0.943","0.938","0.944","0.933","7.45M","0.32%"
"01/08/2024","0.940","0.952","0.952","0.940","8.40M","-1.26%"
"01/05/2024","0.952","0.952","0.966","0.950","9.65M","-0.52%"
"01/04/2024","0.957","0.957","0.964","0.953","7.45M","0.31%"
"01/03/2024","0.954","0.942","0.954","0.941","7.98M","1.17%"
"01/02/2024","0.943","0.935","0.947","0.934","9.08M","0.75%"
"12/29/2023","0.936","0.921","0.937","0.921","9.39M","0.75%"
"12/28/2023","0.929","0.927","0.931","0.922","7.92M","0.11%"
"12/27/2023","0.928","0.918","0.930","0.916","8.48M","1.53%"
"12/26/2023","0.914","0.917","0.920","0.913","8.03M","-0.22%"
"12/25/2023","0.916","0.913","0.917","0.906","7.83M","0.22%"
"12/22/2023","0.914","0.908","0.919","0.908","7.89M","0.55%"
"12/21/2023","0.909","0.906","0.909","0.899","6.41M","0.11%"
"12/20/2023","0.908","0.907","0.917","0.907","7.82M","0.00%"
"12/19/2023","0.908","0.915","0.915","0.902","6.78M","-0.33%"
"12/18/2023","0.911","0.916","0.918","0.910","8.06M","-0.22%"
"12/15/2023","0.913","0.922","0.922","0.911","8.73M","-0.33%"
"12/14/2023","0.916","0.918","0.922","0.913","8.27M","-0.22%"
"12/13/2023","0.918","0.929","0.929","0.916","5.01M","-1.18%"
"12/12/2023","0.929","0.924","0.930","0.921","9.62M","0.32%"
"12/11/2023","0.926","0.920","0.930","0.911","9.34M","0.22%"
"12/08/2023","0.924","0.924","0.931","0.921","10.00M","0.43%"
"12/07/2023","0.920","0.926","0.926","0.913","8.79M","-0.65%"
"12/06/2023","0.926","0.925","0.929","0.918","10.40M","-0.43%"
"12/05/2023","0.930","0.947","0.947","0.929","11.46M","-1.59%"
"12/04/2023","0.945","0.941","0.951","0.941","8.53M","0.43%"
"12/01/2023","0.941","0.946","0.946","0.939","11.73M","-0.84%"
"11/30/2023","0.949","0.936","0.949","0.936","11.34M","1.06%"
"11/29/2023","0.939","0.938","0.943","0.936","6.04M","-0.32%"
"11/28/2023","0.942","0.943","0.943","0.937","8.33M","-0.11%"
"11/27/2023","0.943","0.946","0.946","0.934","8.39M","0.00%"
"11/24/2023","0.943","0.945","0.949","0.942","7.31M","-0.42%"
"11/23/2023","0.947","0.943","0.947","0.937","5.64M","0.42%"
"11/22/2023","0.943","0.951","0.951","0.941","8.73M","-0.84%"
"11/21/2023","0.951","0.947","0.957","0.947","14.21M","0.53%"
"11/20/2023","0.946","0.944","0.950","0.943","9.73M","0.32%"
"11/17/2023","0.943","0.945","0.946","0.938","7.44M","-0.63%"
"11/16/2023","0.949","0.952","0.954","0.948","6.54M","-0.42%"
