"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2024","15,282.01","15,548.78","15,575.68","15,223.16","1.11B","-2.05%"
"04/18/2024","15,601.50","15,705.70","15,786.01","15,587.63","929.56M","-0.52%"
"04/17/2024","15,683.37","15,942.44","15,957.03","15,654.88","892.62M","-1.15%"
"04/16/2024","15,865.25","15,864.68","15,965.79","15,822.47","906.55M","-0.12%"
"04/15/2024","15,885.02","16,276.47","16,294.80","15,863.89","977.01M","-1.79%"
"04/12/2024","16,175.09","16,293.03","16,341.39","16,125.46","902.63M","-1.62%"
"04/11/2024","16,442.20","16,237.64","16,463.93","16,154.86","883.38M","1.68%"
"04/10/2024","16,170.36","16,104.01","16,199.58","16,092.37","987.74M","-0.84%"
"04/09/2024","16,306.64","16,328.76","16,347.81","16,141.92","881.92M","0.32%"
"04/08/2024","16,253.96","16,284.48","16,323.40","16,220.72","846.83M","0.03%"
"04/05/2024","16,248.52","16,095.40","16,325.98","16,080.83","898.01M","1.24%"
"04/04/2024","16,049.08","16,418.57","16,468.04","16,047.63","1.06B","-1.40%"
"04/03/2024","16,277.46","16,176.00","16,340.62","16,170.00","997.70M","0.23%"
"04/02/2024","16,240.45","16,200.10","16,251.29","16,138.51","1.03B","-0.95%"
"04/01/2024","16,396.83","16,397.46","16,490.02","16,328.02","924.21M","0.11%"
"03/28/2024","16,379.46","16,377.23","16,420.78","16,347.38","1.22B","-0.12%"
"03/27/2024","16,399.52","16,410.70","16,413.93","16,279.48","982.31M","0.51%"
"03/26/2024","16,315.70","16,459.99","16,475.14","16,314.63","997.56M","-0.42%"
"03/25/2024","16,384.47","16,335.30","16,441.13","16,316.12","892.04M","-0.27%"
"03/22/2024","16,428.82","16,387.73","16,467.48","16,361.30","875.02M","0.16%"
"03/21/2024","16,401.84","16,517.24","16,538.39","16,394.85","1.05B","0.20%"
"03/20/2024","16,369.41","16,185.76","16,377.44","16,127.48","1.03B","1.25%"
"03/19/2024","16,166.79","16,031.93","16,175.59","15,951.86","1.04B","0.39%"
"03/18/2024","16,103.45","16,154.92","16,247.59","16,094.17","1.04B","0.82%"
"03/15/2024","15,973.17","16,043.58","16,055.33","15,925.91","3.07B","-0.96%"
"03/14/2024","16,128.53","16,209.19","16,245.32","16,039.68","1.18B","-0.30%"
