Date,Open,High,Low,Close,Volume
1950-01-03,16.66,16.66,16.66,16.66,700000
1950-01-04,16.85,16.85,16.85,16.85,1050000
1950-01-05,16.93,16.93,16.93,16.93,1416667
1950-01-06,16.98,16.98,16.98,16.98,1116667
1950-01-07,17.09,17.09,17.09,17.09,1116667
1950-01-09,17.08,17.08,17.08,17.08,1400000
1950-01-10,17.03,17.03,17.03,17.03,1200000
1950-01-11,17.09,17.09,17.09,17.09,1461111
1950-01-12,16.76,16.76,16.76,16.76,1650000
1950-01-13,16.67,16.67,16.67,16.67,1850000
1950-01-14,16.65,16.65,16.65,16.65,1850000
1950-01-16,16.72,16.72,16.72,16.72,811111
1950-01-17,16.86,16.86,16.86,16.86,994444
1950-01-18,16.85,16.85,16.85,16.85,872222
1950-01-19,16.87,16.87,16.87,16.87,650000
1950-01-20,16.9,16.9,16.9,16.9,800000
1950-01-21,16.94,16.94,16.94,16.94,800000
1950-01-23,16.92,16.92,16.92,16.92,744444
1950-01-24,16.86,16.86,16.86,16.86,694444
1950-01-25,16.74,16.74,16.74,16.74,944444
1950-01-26,16.73,16.73,16.73,16.73,638889
1950-01-27,16.82,16.82,16.82,16.82,694444
1950-01-28,16.9,16.9,16.9,16.9,694444
1950-01-30,17.02,17.02,17.02,17.02,911111
1950-01-31,17.05,17.05,17.05,17.05,938889
1950-02-01,17.05,17.05,17.05,17.05,1005556
1950-02-02,17.23,17.23,17.23,17.23,1133333
1950-02-03,17.29,17.29,17.29,17.29,1227778
1950-02-04,17.35,17.35,17.35,17.35,1227778
1950-02-06,17.32,17.32,17.32,17.32,827778
1950-02-07,17.23,17.23,17.23,17.23,755556
1950-02-08,17.21,17.21,17.21,17.21,816667
1950-02-09,17.28,17.28,17.28,17.28,1005556
1950-02-10,17.24,17.24,17.24,17.24,994444
1950-02-11,17.21,17.21,17.21,17.21,994444
1950-02-14,17.06,17.06,17.06,17.06,1227778
1950-02-15,17.06,17.06,17.06,17.06,961111
1950-02-16,16.99,16.99,16.99,16.99,1066667
1950-02-17,17.15,17.15,17.15,17.15,1077778
1950-02-18,17.23,17.23,17.23,17.23,1077778
1950-02-20,17.2,17.2,17.2,17.2,788889
1950-02-21,17.17,17.17,17.17,17.17,700000
1950-02-23,17.21,17.21,17.21,17.21,727778
1950-02-24,17.28,17.28,17.28,17.28,950000
1950-02-25,17.26,17.26,17.26,17.26,950000
1950-02-27,17.28,17.28,17.28,17.28,783333
1950-02-28,17.22,17.22,17.22,17.22,727778
1950-03-01,17.24,17.24,17.24,17.24,783333
