date,open,high,low,close,volume,amount
2013-07-29,2.633,2.64,2.614,2.626,140433577.0,369215424.0
2013-07-30,2.632,2.648,2.632,2.646,92993109.0,245720397.0
2013-07-31,2.643,2.659,2.64,2.657,69976156.0,185580104.0
2013-08-01,2.653,2.656,2.635,2.643,30006438.0,79324519.0
2013-08-02,2.63,2.632,2.558,2.578,33021891.0,85778129.0
2013-08-05,2.621,2.642,2.621,2.63,24012032.0,63166351.0
2013-08-06,2.62,2.62,2.586,2.591,22336052.0,58084510.0
2013-08-07,2.562,2.582,2.56,2.574,19501857.0,50050021.0
2013-08-08,2.588,2.597,2.583,2.586,12626896.0,32693272.0
2013-08-09,2.625,2.63,2.611,2.616,13213795.0,34637968.0
2013-08-12,2.656,2.66,2.649,2.659,19916360.0,52878978.0
2013-08-13,2.662,2.68,2.658,2.675,14718160.0,39244984.0
2013-08-14,2.64,2.652,2.637,2.64,11130351.0,29422493.0
2013-08-15,2.68,2.689,2.674,2.68,17191989.0,46071956.0
2013-08-16,2.73,2.743,2.71,2.712,18664881.0,50870624.0
2013-08-19,2.74,2.752,2.733,2.737,14228539.0,39063110.0
2013-08-20,2.725,2.729,2.699,2.705,8921362.0,24188967.0
2013-08-21,2.72,2.734,2.718,2.724,6369008.0,17360250.0
2013-08-22,2.717,2.721,2.71,2.714,4756443.0,12908053.0
2013-08-23,2.731,2.737,2.724,2.733,9361162.0,25579826.0
2013-08-26,2.77,2.781,2.765,2.772,8727286.0,24191025.0
2013-08-27,2.772,2.782,2.771,2.779,6336802.0,17597326.0
2013-08-28,2.81,2.837,2.8,2.827,14239869.0,40124193.0
2013-08-29,2.808,2.808,2.784,2.796,7396574.0,20657726.0
2013-08-30,2.781,2.798,2.781,2.787,8631178.0,24067701.0
2013-09-02,2.77,2.775,2.761,2.767,6896895.0,19087470.0
2013-09-03,2.77,2.77,2.76,2.762,3896815.0,10769305.0
2013-09-04,2.791,2.802,2.784,2.787,9480610.0,26491338.0
2013-09-05,2.765,2.767,2.745,2.751,5750474.0,15841541.0
2013-09-06,2.73,2.73,2.719,2.725,6594294.0,17973865.0
2013-09-09,2.751,2.761,2.751,2.756,4079357.0,11246274.0
2013-09-10,2.756,2.756,2.737,2.742,9294001.0,25512955.0
2013-09-11,2.712,2.722,2.7,2.722,5937809.0,16104834.0
2013-09-12,2.714,2.714,2.676,2.682,4885575.0,13180908.0
2013-09-13,2.655,2.655,2.608,2.622,9302931.0,24509099.0
2013-09-16,2.636,2.647,2.631,2.631,4727727.0,12488037.0
2013-09-17,2.615,2.616,2.604,2.609,4041727.0,10552216.0
2013-09-18,2.585,2.59,2.568,2.589,9692651.0,24994132.0
2013-09-23,2.618,2.636,2.609,2.629,7860273.0,20603288.0
2013-09-24,2.628,2.633,2.621,2.622,5245488.0,13793657.0
2013-09-25,2.622,2.633,2.621,2.629,3117444.0,8191142.0
2013-09-26,2.636,2.644,2.631,2.632,3558817.0,9385271.0
2013-09-27,2.625,2.626,2.618,2.622,5737501.0,15045611.0
2013-09-30,2.633,2.65,2.633,2.649,3166558.0,8377748.0
2013-10-08,2.638,2.638,2.626,2.63,3119827.0,8203747.0
2013-10-09,2.625,2.625,2.612,2.615,4958316.0,12967363.0
2013-10-10,2.588,2.598,2.588,2.595,4941113.0,12809231.0
2013-10-11,2.574,2.576,2.566,2.569,6301104.0,16193471.0
2013-10-14,2.54,2.543,2.532,2.543,7780725.0,19735928.0
2013-10-15,2.538,2.539,2.529,2.533,9691603.0,24561294.0
2013-10-16,2.54,2.55,2.538,2.549,10926177.0,27813807.0
