date,open,high,low,close,volume,amount
2020-03-02,0.448086,0.4656399,0.448086,0.464716,89435698,89344150
2020-03-03,0.4845796,0.4845796,0.4651779,0.4684116,83868000,85570537
2020-03-04,0.4674876,0.473031,0.4619443,0.473031,63942498,64833415
2020-03-05,0.4744168,0.4822699,0.4744168,0.4804221,68569400,71121231
2020-03-06,0.4767265,0.4767265,0.4697973,0.4734929,31208000,31976717
2020-03-09,0.4633301,0.4665638,0.4554771,0.455939,35984300,35840056
2020-03-10,0.4503957,0.4633301,0.448086,0.4628682,20707800,20461666
2020-03-11,0.464254,0.4661018,0.4573249,0.4587107,21477600,21444287
2020-03-12,0.4522435,0.4540913,0.448086,0.4508576,15874198,15506492
2020-03-13,0.4360754,0.447624,0.4323799,0.4443904,32233800,30702461
2020-03-16,0.4434665,0.4485479,0.4337657,0.4346896,25652200,24714628
2020-03-17,0.4356135,0.4434665,0.4259126,0.4346896,14532900,13664137
2020-03-18,0.4323799,0.439309,0.4286843,0.4286843,20087000,18925326
2020-03-19,0.4296082,0.4296082,0.4139021,0.423141,20253500,18487704
2020-03-20,0.4240649,0.4286843,0.4212932,0.4286843,21690600,19922999
2020-03-23,0.4245268,0.4245268,0.4157499,0.4175977,19676200,17834915
2020-03-24,0.4194454,0.4291463,0.4194454,0.4286843,20293400,18670500
2020-03-25,0.4286843,0.4365374,0.4286843,0.4333038,20064900,18781315
2020-03-26,0.4291463,0.4319179,0.4282224,0.4291463,18171900,16920935
2020-03-27,0.4337657,0.4337657,0.4296082,0.4300702,14759300,13788914
2020-03-30,0.4300702,0.431456,0.4245268,0.4291463,17130500,15869270
2020-03-31,0.4300702,0.4319179,0.4268366,0.4272985,13712300,12757556
2020-04-01,0.4272985,0.4300702,0.4245268,0.4245268,20385000,18874579
2020-04-02,0.4226791,0.4328418,0.4226791,0.4328418,16857900,15586448
2020-04-03,0.4328418,0.4328418,0.4268366,0.4272985,15288000,14203474
2020-04-07,0.4300702,0.4346896,0.4300702,0.4342276,18227700,17102189
2020-04-08,0.4328418,0.4379232,0.4305321,0.4360754,16538600,15551929
2020-04-09,0.4388471,0.4388471,0.4337657,0.4346896,16648400,15728105
2020-04-10,0.4351515,0.4351515,0.4286843,0.4296082,24568300,22941235
2020-04-13,0.4296082,0.4296082,0.4263746,0.4277604,12564300,11626770
2020-04-14,0.4254507,0.4337657,0.4254507,0.4337657,17383200,16201764
2020-04-15,0.4346896,0.4346896,0.4282224,0.4296082,14687300,13674362
2020-04-16,0.4272985,0.4305321,0.4272985,0.4286843,14355700,13323839
2020-04-17,0.4296082,0.4319179,0.4286843,0.4296082,17442400,16261937
2020-04-20,0.4300702,0.4305321,0.4282224,0.4305321,12782900,11891067
2020-04-21,0.4291463,0.4291463,0.4194454,0.4217552,15604900,14287429
2020-04-22,0.4175977,0.4254507,0.4175977,0.4240649,21472400,19568922
2020-04-23,0.4240649,0.4240649,0.4212932,0.4217552,16418700,15005349
2020-04-24,0.4217552,0.4263746,0.4217552,0.4236029,22596800,20764556
2020-04-27,0.4226791,0.4245268,0.4203693,0.4212932,22858800,20904394
2020-04-28,0.4203693,0.4203693,0.4069729,0.4139021,21729300,19374339
2020-04-29,0.4111304,0.4185216,0.4111304,0.4157499,26698400,24060676
2020-04-30,0.4157499,0.4249888,0.4157499,0.4249888,23145800,21156711
2020-05-06,0.4185216,0.4259126,0.4185216,0.4249888,23192600,21192309
2020-05-07,0.4249888,0.4249888,0.4203693,0.4217552,19442800,17734764
2020-05-08,0.423141,0.4259126,0.4222171,0.4259126,34507300,31601653
2020-05-11,0.4254507,0.4282224,0.4249888,0.4263746,26580000,24560969
2020-05-12,0.4254507,0.4263746,0.4217552,0.4240649,22559600,20691513
2020-05-13,0.4236029,0.4245268,0.4199074,0.4245268,19192800,17525289
2020-05-14,0.4236029,0.4236029,0.4194454,0.4199074,18963300,17298428
2020-05-15,0.4199074,0.4222171,0.4199074,0.4208313,16938100,15442447
2020-05-18,0.4208313,0.4245268,0.4194454,0.423141,22470500,20544847
2020-05-19,0.4282224,0.4291463,0.4268366,0.4282224,20421800,18929194
2020-05-20,0.4282224,0.4291463,0.4240649,0.4249888,18918700,17459052
2020-05-21,0.4249888,0.4268366,0.423141,0.4240649,15904800,14635545
2020-05-22,0.423141,0.423141,0.4157499,0.4166738,22922900,20732843
2020-05-25,0.4175977,0.423141,0.4162118,0.4212932,20653900,18790415
2020-05-26,0.4208313,0.4240649,0.4185216,0.4240649,19099900,17445383
2020-05-27,0.4217552,0.4300702,0.4217552,0.4296082,24076100,22243039
2020-05-28,0.4300702,0.4300702,0.4240649,0.4277604,16648200,15393083
2020-05-29,0.4259126,0.4268366,0.4240649,0.4245268,17188100,15829977
2020-06-01,0.4245268,0.4309941,0.4245268,0.4305321,20860000,19355761
2020-06-02,0.4309941,0.4323799,0.4291463,0.4323799,23729400,22139757
2020-06-03,0.4365374,0.4365374,0.4309941,0.4309941,14766300,13859394
2020-06-04,0.4309941,0.4319179,0.4286843,0.4296082,26915310,25087368
2020-06-05,0.431456,0.4319179,0.4268366,0.4300702,25173400,23374871
2020-06-08,0.4300702,0.4333038,0.4300702,0.4328418,25734400,24045831
2020-06-09,0.4323799,0.4346896,0.431456,0.4346896,27460500,25725513
2020-06-10,0.4342276,0.4342276,0.4309941,0.4319179,26686500,24969117
2020-06-11,0.4328418,0.4337657,0.4282224,0.4296082,28755800,26787663
2020-06-12,0.4157499,0.4272985,0.4157499,0.4263746,26266900,24161059
2020-06-15,0.4263746,0.4272985,0.4222171,0.4236029,27796000,25574344
2020-06-16,0.4259126,0.4309941,0.4240649,0.4296082,23801200,21988146
2020-06-17,0.4296082,0.4346896,0.4291463,0.4328418,26916600,25209613
2020-06-18,0.4337657,0.4503957,0.431456,0.4499337,62320000,59794468
2020-06-19,0.4490099,0.4490099,0.4439285,0.4462382,43993100,42447138
2020-06-22,0.447624,0.447624,0.4411568,0.4420807,39717500,38115952
2020-06-23,0.4430046,0.4430046,0.439771,0.4420807,30884700,29484911
2020-06-24,0.4411568,0.4434665,0.4402329,0.4411568,30898800,29550785
2020-06-29,0.4406949,0.4406949,0.4337657,0.4346896,25347600,23896987
2020-06-30,0.4360754,0.439771,0.4360754,0.4388471,28778200,27251416
2020-07-01,0.439309,0.4462382,0.4383852,0.4462382,33235600,31772013
2020-07-02,0.4471621,0.4619443,0.4457763,0.4614824,57304500,56386800
2020-07-03,0.4637921,0.4878132,0.4619443,0.4878132,92660510,96005193
2020-07-06,0.4988999,0.5363173,0.4942804,0.5307741,183910400,202855657
2020-07-07,0.5584907,0.5589526,0.5035193,0.5086007,212425900,238504030
2020-07-08,0.5012096,0.5219971,0.4993618,0.5183015,143201615,159218025
2020-07-09,0.5192254,0.5432465,0.5090626,0.5372412,217371000,247052061
2020-07-10,0.5340076,0.5340076,0.5104485,0.5146059,113843000,128394970
2020-07-13,0.5095246,0.5275404,0.5067529,0.5247688,146398500,165333985
2020-07-14,0.5247688,0.5367793,0.5136821,0.5312359,125294600,142864207
2020-07-15,0.5316979,0.5353935,0.5104485,0.5122962,72802900,81928455
2020-07-16,0.5132201,0.5187635,0.4915088,0.4942804,59453500,65249332
2020-07-17,0.4956662,0.5016715,0.4873512,0.4919707,50448100,54063735
2020-07-20,0.4942804,0.5215351,0.4933565,0.5196874,101962100,112461504
2020-07-21,0.5173776,0.5233829,0.5099865,0.5127582,43845500,48841640
2020-07-22,0.5178396,0.5206112,0.5104485,0.5122962,62276000,69468069
2020-07-23,0.5072149,0.5113723,0.4970521,0.5086007,48794400,53280513
2020-07-24,0.5035193,0.5159918,0.4919707,0.4956662,74114800,81449314
2020-07-27,0.4961282,0.4993618,0.4882752,0.4965902,51177800,54790630
2020-07-28,0.4993618,0.5090626,0.4965902,0.5007476,46795600,51029758
2020-07-29,0.4956662,0.5081388,0.4938185,0.5076768,52637600,57275702
2020-07-30,0.5086007,0.5136821,0.5044432,0.506291,56677700,62440702
2020-07-31,0.5035193,0.5095246,0.4988999,0.505829,50672000,55377882
2020-08-03,0.506291,0.5150679,0.506291,0.5146059,65817199,72884033
2020-08-04,0.5155299,0.5155299,0.5081388,0.5118343,41771800,46206030
2020-08-05,0.5136821,0.5136821,0.5012096,0.5072149,46067600,50469378
2020-08-06,0.5081388,0.5099865,0.5021335,0.5090626,50537600,55375167
2020-08-07,0.5086007,0.5090626,0.4956662,0.4998237,53335900,57924633
2020-08-10,0.4988999,0.505367,0.4965902,0.5030574,37168200,40356433
2020-08-11,0.5044432,0.5067529,0.4961282,0.4970521,44468100,48486504
2020-08-12,0.4961282,0.5007476,0.4905849,0.5002857,41936100,44890114
2020-08-13,0.5002857,0.5109104,0.5002857,0.5067529,42983599,47301264
2020-08-14,0.506291,0.5090626,0.5012096,0.5086007,31253599,34226167
2020-08-17,0.5076768,0.5219971,0.506291,0.5219971,61957700,69133059
2020-08-18,0.5266165,0.5349315,0.5201493,0.5289263,82882800,95124884
2020-08-19,0.5270784,0.5377032,0.5233829,0.5303121,73305515,84224588
2020-08-20,0.5284643,0.5312359,0.5183015,0.5215351,47715100,54160346
2020-08-21,0.5217661,0.5249997,0.5180706,0.5213041,46588900,52633739
2020-08-24,0.5213041,0.5245377,0.5176086,0.5203803,56313215,63555717
2020-08-25,0.5203803,0.5231519,0.514375,0.514837,27696800,31034451
2020-08-26,0.514837,0.5162227,0.5088317,0.5097556,31695900,35127965
2020-08-27,0.5111414,0.514375,0.5102175,0.513913,26947500,29865994
2020-08-28,0.5122962,0.5201493,0.5104485,0.5196874,47646500,53113521
2020-08-31,0.5196874,0.5266165,0.5187635,0.5192254,37392400,42408067
2020-09-01,0.5173776,0.522921,0.5169157,0.522459,38462500,43227061
2020-09-02,0.522921,0.5238448,0.5150679,0.5192254,34718400,38990144
2020-09-03,0.5183015,0.5312359,0.5178396,0.5252306,47004600,53562870
2020-09-04,0.5159918,0.5219971,0.5136821,0.5196874,28017900,31416204
2020-09-07,0.5187635,0.5252306,0.5150679,0.5164537,28948300,32618547
2020-09-08,0.5164537,0.5358554,0.5150679,0.5353935,64650600,73807428
2020-09-09,0.5312359,0.5427846,0.5266165,0.5316979,73514000,85398892
2020-09-10,0.5349315,0.5409368,0.5210732,0.522459,52844500,60872504
2020-09-11,0.5132201,0.522459,0.5132201,0.5187635,29459100,32933919
2020-09-14,0.5183015,0.5206112,0.5141441,0.5164537,28127900,31414086
2020-09-15,0.5173776,0.5187635,0.5132201,0.5178396,24299000,27169865
